id,name,activity_name,quotas
2b9d1178-6ecf-11ed-9161-22d0c8df9d48,Analis Junior Pengaturan BPR 2, Departemen Penelitian dan Pengaturan Perbankan,1
dd6bdcb5-6ecd-11ed-9161-22d0c8df9d48,Analis Junior Prudensial, Departemen Penelitian dan Pengaturan Perbankan,1
cab55ffb-6f90-11ed-8b84-22d0c8df9d48,Analis Kebijakan Penyidikan dan Satgas Waspada Investasi ,Departemen Penyidikan Sektor Jasa Keuangan,2
06f4f83e-6f8c-11ed-83fd-7e8ddab09462,Analis   Laporan Pengelolaan Investasi,Departemen Pengawasan Pasar Modal 2A,1
d3224c53-5695-11ed-92ba-cac009710b2f,Analis Transportasi,Economic Feasibility Analysis & Traffic Volume Planning of Toll Road - Makassar,2
81dd63d4-7081-11ed-9540-86f9589d528b," Analyst : Data Analyst, Data Engineer, Data Scientist",Kampus Merdeka Bank Indonesia,65
b9590789-66e0-11ed-b864-9afb6f59ce88,Analyst Maintenance Strategy Intern,Implementasi Standard Job Development Maintenance Strategy di SOC & SOT,1
b8ea55ea-6f95-11ed-83fd-7e8ddab09462,Android Engineer,Belajar Birdsama Bluebird,6
472b113a-81bc-11ed-b579-e28bf6b6d14d,Animator,Vocasia Internship Professional Edutech Program,2
9b3928f6-705f-11ed-83e6-668d7502ff5d,Animator,Smart Cities & Smart enterprises: Co-Creation Solution & Innovation Development Internship Programs ,5
48ffb8e7-642d-11ed-8ebb-320b4c7afbe7,Animator Intern,Zenius Professionals Practice Program Angkatan 4,2
f0f344c2-55ab-11ed-9b1f-3642855f7e03,API Microservice - Creation Intern,DYNAMIC SUSTAINABILITY PROGRAMS (OFFLINE INTERNSHIP),2
b95c04d5-55ab-11ed-adef-fa00dd4e79e4,API Microservice Intern,DYNAMIC SUSTAINABILITY PROGRAMS (OFFLINE INTERNSHIP),1
2d49a5a4-6fe4-11ed-ab38-feb214c74b66,App Developer (Programmer),Vocasia Internship Professional Edutech Program,4
28959f4d-6b0c-11ed-8147-a2c3ec1c6e84,Applications Development,Officer Development Program,4
a3c10bf1-6c9b-11ed-9738-0278cb7f6574,Arjuna (Aplikasi Penunjang Kerja) Project Intern,HR System Project Intern,2
6039e062-60a8-11ed-b4b5-baaa6764964c,AR Officer - Bali,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
0317a911-60aa-11ed-b3af-8a7c8006de3f,AR Officer - Bandung,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
eebfa5ef-60ab-11ed-b7c7-aaf123262558,AR Officer - Banjarmasin,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
81b6acee-60b3-11ed-9380-320b4c7afbe7,AR Officer - Jakarta,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,5
faff704c-60b1-11ed-9958-e6768c594c9c,AR Officer - Lampung,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
2d9dc238-60a9-11ed-97af-4e7334462431,AR Officer - Malang,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
9d0caae3-60aa-11ed-b7c7-aaf123262558,AR Officer - Medan,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
38250772-60ad-11ed-b3af-8a7c8006de3f,AR Officer - Palembang,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
d0a5797b-60ae-11ed-aaab-4a119f027d25,AR Officer - Pekanbaru,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
5b13d070-60af-11ed-9958-e6768c594c9c,AR Officer - Semarang,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
96072390-60ce-11ed-aaab-4a119f027d25,AR Officer - Surabaya,ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
846a6619-6ed7-11ed-818c-feb214c74b66,Asisten Analis Pengembangan Produk Perbankan Syariah,Direktorat Pengaturan dan Perizinan Perbankan Syariah,1
59be4f56-6eca-11ed-9161-22d0c8df9d48,Asisten Peneliti,OJK Institute,1
b438bb57-6fb2-11ed-9576-62d54cabf853,Assessment Intern,Belajar Birdsama Bluebird,2
c898e821-6a4a-11ed-931a-a6bfdab34a31,Assessment Officer,Learning Management di Head Office,2
40573ff3-6c9c-11ed-8441-22d0c8df9d48,ASSET MANAGEMENT,Optimalisasi Asset,1
5a542b10-6a34-11ed-8ebe-a6bfdab34a31,Asset Management Officer,Officer Development Program,1
ca2620cc-60ba-11ed-9380-320b4c7afbe7,Asset & Treasury Officer - Jakarta (Head Office),ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
35d65c31-75e0-11ed-a033-260399e19f34,Assistant Business Analyst,Huawei Roll Out & Manage Service Internship,2
96990b59-74c8-11ed-84f4-260399e19f34,Assistant Business Operation Support,Huawei Roll Out & Manage Service Internship,2
5a3b7354-75dc-11ed-a007-b2d858cc7bd2,Assistant Data Analyst Engineer,Huawei Roll Out & Manage Service Internship,2
27185219-74c9-11ed-be17-36f737f7a6bf,Assistant Procurement Specialist,Huawei Roll Out & Manage Service Internship,2
b8ac45f4-756b-11ed-be17-36f737f7a6bf,Assistant Project Controller,Huawei Roll Out & Manage Service Internship,5
7af1196c-75d8-11ed-8c3c-3eca353efbd3,Assistant Quality Control and EHS Engineer,Huawei Roll Out & Manage Service Internship,3
cd76d463-6169-11ed-b3d1-4eaca8c1bf53,Auction Relation Officer - JBA (Jakarta),ASTERIEX IV : First Journey to Become ASSA SPEED Racers!,1
d1eac21d-6b11-11ed-8225-d61b0e2692e7,Automation  & Electrical Infrastructure Project Analyst Officer,Officer Development Program,1
d6b8ef6d-64e2-11ed-b74d-2af064b3727d, B2B Customer Success Intern, Orbit 4 Indonesia Internship Program,2
